Designator,Mid X,Mid Y,Rotation,Layer
C301,59,-99,90,top
C302,59,-103,90,top
C303,50.5,-77.5,0,top
C304,45.5,-78,-90,top
C305,45.02,-83.9,-90,top
C306,41.72,-78,0,top
C307,37.02,-83.3,-90,top
C308,40.72,-86,180,top
C309,33.5175,-88.49,-90,top
C310,44,-99,-90,top
C311,44,-103,-90,top
C312,36.3175,-85.49,180,top
C501,56.9,-57.5,90,top
D501,60,-68,0,top
D502,60,-66,0,top
D503,60,-64,0,top
D504,60,-62,0,top
D505,60,-60,0,top
D506,60,-58,0,top
D507,60,-56,0,top
D508,60,-54,0,top
D509,70,-68,180,top
D510,70,-66,180,top
D511,70,-64,180,top
D512,70,-62,180,top
D513,70,-60,180,top
D514,70,-58,180,top
D515,70,-56,180,top
D516,70,-54,180,top
J301,65,-103.5,180,top
J302,50,-103.5,180,top
J303,35,-103.5,180,top
J401,81,-103,90,top
R301,48,-77.5,180,top
R302,35.5,-80.7,-90,top
R303,35.5,-83.3,90,top
R401,79.5,-97,180,top
R402,79.5,-109,180,top
R501,63,-68,0,top
R502,63,-66,0,top
R503,63,-64,0,top
R504,63,-62,0,top
R505,63,-60,0,top
R506,63,-58,0,top
R507,63,-56,0,top
R508,63,-54,0,top
R509,66.5,-68,180,top
R510,66.5,-66,180,top
R511,66.5,-64,180,top
R512,66.5,-62,180,top
R513,66.5,-60,180,top
R514,66.5,-58,180,top
R515,66.5,-56,180,top
R516,66.5,-54,180,top
U301,41,-82,90,top
U302,36.38,-88.62,0,top
U401,73,-100,180,top
U501,50,-60,90,top
